Market Cap (GBP$ Billion),Name
286.319,JPMorgan Chase
252.834,Industrial and Commercial Bank of China
238.272,Bank of America
225.588,Wells Fargo
188.519,China Construction Bank
160.593,HSBC Holdings PLC
148.856,Agricultural Bank of China
148.798,Citigroup Inc.
132.908,Bank of China
89.804,China Merchants Bank
89.766,Royal Bank of Canada
84.736,Banco Santander
82.195,Commonwealth Bank
81.78,Mitsubishi UFJ Financial Group
79.428,Toronto-Dominion Bank
75.626,BNP Paribas
73.756,Goldman Sachs
73.123,Sberbank of Russia
72.984,Morgan Stanley
69.254,U.S. Bancorp
64.77,HDFC Bank
63.135,Itaú Unibanco
61.932,Westpac
57.821,Scotiabank
57.801,ING Group
55.283,UBS
54.384,Charles Schwab
52.913,PNC Financial Services
52.186,Lloyds Banking Group
49.311,Sumitomo Mitsui Financial Group
49.128,Bank of Communications
48.666,Australia and New Zealand Banking Group
47.471,Banco Bradesco
46.723,National Australia Bank
45.432,Intesa Sanpaolo
44.44,Banco Bilbao Vizcaya Argentaria
44.328,Japan Post Bank
43.814,The Bank of New York Mellon
43.062,Shanghai Pudong Development Bank
42.031,Industrial Bank (China)
40.611,Bank of China (Hong Kong)
38.95,Bank of Montreal
38.188,Crédit Agricole
37.7,DBS Bank
37.488,Nordea
37.431,Capital One
36.979,NatWest Group
36.633,Mizuho Financial Group
35.493,Credit Suisse
35.117,Postal Savings Bank of China
35.097,China Minsheng Bank
34.992,UniCredit
34.753,China CITIC Bank
33.816,Hang Seng Bank
33.728,Société Générale
33.58,Barclays
31.892,Canadian Imperial Bank of Commerce
31.745,Bank Central Asia
30.704,Truist Financial
30.293,Oversea-Chinese Banking Corp
29.708,State Bank of India
29.127,State Street
28.306,Deutsche Bank
28.12,KBC Bank
27.994,Danske Bank
27.826,Ping An Bank
27.332,Standard Chartered
25.728,United Overseas Bank
24.579,QNB Group
24.228,Bank Rakyat
44.44,Banco Bilbao Vizcaya Argentaria
44.328,Japan Post Bank
43.814,The Bank of New York Mellon
43.062,Shanghai Pudong Development Bank
42.031,Industrial Bank (China)
40.611,Bank of China (Hong Kong)
38.95,Bank of Montreal
38.188,Crédit Agricole
37.7,DBS Bank
37.488,Nordea
37.431,Capital One
36.979,NatWest Group
36.633,Mizuho Financial Group
35.493,Credit Suisse
35.117,Postal Savings Bank of China
35.097,China Minsheng Bank
34.992,UniCredit
34.753,China CITIC Bank
33.816,Hang Seng Bank
33.728,Société Générale
33.58,Barclays
31.892,Canadian Imperial Bank of Commerce
31.745,Bank Central Asia
30.704,Truist Financial
30.293,Oversea-Chinese Banking Corp
29.708,State Bank of India
29.127,State Street
28.306,Deutsche Bank
28.12,KBC Bank
27.994,Danske Bank
27.826,Ping An Bank
27.332,Standard Chartered
25.728,United Overseas Bank
24.579,QNB Group
24.228,Bank Rakyat
